Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
27.10.21 11:14:14,0.03,130.08,108.2,130.41,27.8,123.54,117.93,125.33,134.07,116.5,120.16,105.59,119.04,137.76,146.14,129.92,120.96,115.55,113.66,113.97,141.16,129.59,132.07,113.97,117.45,,23.3,1002,35,23.55,
27.10.21 11:14:30,0.3,130.58,108.51,130.08,27.56,125.65,118.09,124.84,135.07,116.18,121.93,104.52,117.61,136.08,146.66,130.25,121.93,116.34,113.19,113.03,142.01,129.75,132.23,115.23,117.13,,23.3,1002,35,23.57,
27.10.21 11:14:45,0.55,131.24,108.51,129.75,28.04,125.33,117.29,125,134.07,115.55,123.22,102.69,116.5,136.08,146.14,129.92,121.93,115.71,113.66,113.19,142.18,129.42,132.73,116.02,114.76,,23.3,1002,35,23.59,
27.10.21 11:15:00,0.8,131.07,108.67,129.75,27.92,124.19,116.66,125.33,133.07,116.02,123.71,100.72,113.97,136.25,145.97,129.92,123.71,115.07,113.34,112.87,141.16,128.6,132.73,116.02,113.19,,23.3,1002,35,23.61,
27.10.21 11:15:15,1.05,131.4,108.36,128.93,27.92,123.71,115.55,125,130.91,115.71,122.57,97.86,112.09,135.07,144.59,128.6,124.03,114.44,112.56,112.25,142.35,127.61,132.57,116.5,111.62,,23.3,1002,35,23.63,
27.10.21 11:15:30,1.3,132.23,108.98,128.43,28.16,123.54,114.6,125,130.08,115.23,122.25,95.63,110.22,134.07,143.21,127.12,124.03,114.29,112.25,111,140.82,127.45,131.9,116.5,109.13,,23.3,1002,35,23.64,
27.10.21 11:15:45,1.55,131.74,108.82,128.93,28.04,121.28,113.81,124.68,128.93,115.07,120.8,93.26,107.59,133.23,141.5,126.31,124.19,113.66,113.19,110.53,140.48,126.47,131.74,116.97,106.97,,23.3,1002,35,23.66,
27.10.21 11:16:01,1.82,131.74,108.67,128.6,28.04,119.52,113.34,124.35,128.43,115.23,119.84,90.76,105.43,133.07,140.82,125.33,125.17,113.03,111.62,109.91,140.99,125.17,131.74,116.81,105.89,,23.3,1002,35,23.68,
27.10.21 11:16:16,2.07,131.4,109.13,128.43,27.56,117.45,112.4,124.68,127.29,114.92,119.84,87.55,103.75,132.4,139.8,123.71,125,112.72,112.25,109.29,140.99,123.71,130.74,116.66,102.99,,23.3,1002,35,23.68,
27.10.21 11:16:31,2.32,131.57,109.44,128.43,28.04,115.55,111.47,124.68,125.82,114.6,119.04,84.81,102.39,132.07,137.76,122.57,125.49,112.25,111.62,108.2,141.84,122.9,130.91,116.97,101.32,,23.3,1002,35,23.71,
27.10.21 11:16:46,2.57,131.4,108.82,128.43,28.4,114.29,111.15,124.03,123.87,114.29,118.24,82.66,99.66,131.74,136.41,121.45,125.65,110.53,110.22,107.12,140.65,122.09,130.25,117.29,99.36,,23.3,1002,35,23.71,
27.10.21 11:17:01,2.82,131.57,109.13,127.78,28.04,112.09,110.37,124.35,121.93,113.81,117.61,80.52,98.16,129.42,134.9,120.96,127.29,110.22,110.53,106.66,139.8,120.8,130.08,116.97,97.71,,23.3,1002,35,23.71,
27.10.21 11:17:16,3.07,131.74,108.82,127.94,27.92,110.22,110.84,123.87,120.16,112.87,116.81,78.82,96.22,130.08,133.23,119.04,126.47,109.91,109.44,106.36,140.14,119.84,130.41,117.45,95.03,,23.3,1002,35,23.73,
27.10.21 11:17:31,3.32,131.74,109.13,127.45,28.16,108.2,110.06,123.54,117.61,112.72,115.55,76.57,95.18,129.09,131.4,117.61,127.61,108.67,109.44,104.82,139.8,118.72,129.09,117.13,93.26,,23.3,1002,35,23.75,
27.10.21 11:17:46,3.57,132.73,109.29,127.29,28.04,105.43,109.91,124.03,115.55,112.72,115.55,74.76,93.7,128.27,129.92,117.61,127.45,108.2,108.98,103.45,139.97,117.77,128.93,116.66,90.76,,23.3,1002,35,23.75,
27.10.21 11:18:01,3.82,132.07,108.98,127.45,28.16,102.99,109.75,122.73,114.92,112.56,114.29,72.53,91.49,127.61,129.09,116.66,128.11,107.43,108.98,102.99,140.31,116.5,128.93,116.97,89,,23.3,1002,35,23.75,
27.10.21 11:18:17,4.08,132.07,109.13,126.96,27.68,101.78,109.44,122.9,113.66,111.93,113.66,71.15,90.32,127.61,127.29,114.76,128.11,106.66,108.36,101.78,139.63,115.55,128.27,116.66,87.12,,23.3,1002,35,23.77,
27.10.21 11:18:32,4.33,132.4,109.13,126.96,28.4,99.36,109.13,121.77,113.03,112.4,113.34,69.5,88.57,127.45,126.31,114.76,127.78,105.74,107.9,101.63,139.8,114.6,127.94,117.61,85.81,,23.3,1002,35,23.78,
27.10.21 11:18:47,4.58,132.07,109.29,127.12,28.16,98.61,108.36,121.77,111.93,111.31,112.4,67.72,86.68,127.45,125.17,113.19,127.12,104.67,107.43,100.87,138.1,113.19,127.78,118.09,83.94,,23.3,1002,35,23.79,
27.10.21 11:19:02,4.83,132.07,108.82,126.96,28.28,96.52,107.28,120.96,110.22,112.09,112.09,66.23,84.95,126.96,123.22,112.09,127.61,104.82,105.74,100.57,137.76,112.72,127.94,117.77,81.37,,23.3,1002,35,23.79,
27.10.21 11:19:17,5.08,131.9,109.13,126.47,28.04,95.63,106.97,121.28,108.67,111.31,111.78,64.47,83.09,127.12,121.93,111.93,127.78,104.67,104.98,100.87,138.95,111,127.78,117.45,79.95,,23.3,1002,35,23.8,
27.10.21 11:19:32,5.33,131.9,109.13,126.96,28.28,93.85,105.89,120.48,108.51,110.84,111.31,No Sensor,81.37,126.14,120.64,110.84,127.94,102.99,104.52,100.27,138.1,110.06,126.47,117.93,76.85,,23.3,1002,35,23.82,
27.10.21 11:19:47,5.58,131.24,108.98,126.96,28.28,92.52,106.2,120.16,106.82,110.22,110.37,No Sensor,79.81,125.49,119.52,110.22,128.43,102.39,103.45,99.51,137.76,109.75,125.17,118.24,75.59,,23.3,1002,35,23.82,
27.10.21 11:20:02,5.83,132.07,108.82,126.8,27.68,91.2,105.43,119.04,106.36,110.69,109.75,No Sensor,78.12,125.65,117.45,109.6,128.43,102.54,102.54,99.36,136.92,107.59,125.33,118.24,73.09,,23.3,1002,35,23.82,
27.10.21 11:20:17,6.08,131.9,108.98,126.31,28.52,90.9,105.43,118.72,104.82,109.91,108.67,No Sensor,77.13,124.84,116.5,108.05,128.76,101.78,101.93,98.31,136.58,108.36,125,118.09,71.29,,23.3,1002,35,23.84,
27.10.21 11:20:32,6.33,131.24,108.67,126.14,28.4,88.86,104.82,118.24,103.6,109.91,108.05,No Sensor,75.59,124.68,115.23,107.9,127.94,100.87,101.02,97.71,136.41,107.9,124.52,118.4,71.01,,23.3,1002,35,23.84,
27.10.21 11:20:47,6.58,132.07,108.67,125.82,28.4,87.55,104.36,117.77,103.6,109.44,107.28,No Sensor,73.36,124.68,114.13,106.51,129.09,99.66,100.27,96.97,137.43,106.66,124.52,118.88,69.5,,23.3,1002,35,23.86,
27.10.21 11:21:03,6.85,131.4,108.67,126.14,27.8,86.83,103.6,117.77,101.78,109.6,107.12,No Sensor,72.53,124.84,112.25,105.28,129.09,98.61,99.81,96.22,135.74,106.36,123.71,118.88,68.82,,23.3,1002,35,23.86,
27.10.21 11:21:18,7.1,132.07,109.13,126.14,28.16,84.66,103.14,117.61,101.63,109.29,106.66,No Sensor,70.74,125,111.62,104.98,127.45,97.71,98.46,95.33,136.58,105.28,122.41,118.24,68.13,,23.3,1002,35,23.86,
27.10.21 11:21:33,7.35,132.07,108.82,125.98,28.28,84.66,103.14,117.61,100.72,109.29,106.05,No Sensor,69.5,124.35,110.22,104.52,128.11,98.46,98.31,94.88,137.43,105.13,122.57,119.04,66.5,,23.3,1002,35,23.86,
27.10.21 11:21:48,7.6,131.74,108.36,125.33,28.04,84.52,102.39,117.29,99.51,109.13,106.36,No Sensor,67.32,123.87,109.13,103.91,128.43,97.71,97.86,93.85,137.26,104.82,121.12,119.2,65.28,,23.3,1002,35,23.86,
27.10.21 11:22:03,7.85,131.4,108.36,125.17,27.92,83.94,101.48,116.66,98.31,108.82,105.59,No Sensor,66.09,124.35,107.43,102.99,128.11,97.71,96.67,93.11,137.09,104.06,120.8,119.04,63.93,,23.3,1002,35,23.88,
