"","input.rate","converted.rate","volumetric","mass.specific","input.o2.unit","input.time.unit","output.unit","vial","B.TAG","Day","Sym.state","Bacteria","Treatment"
"1","-1.0566867638479","-2.24117888251664","-4.25823987678162","-0.0349036055473903","%","min","umol/min/g","A2","O33","22","sym","SW","Control"
"2","-0.152044311255135","-0.322478251124235","-0.612708677136046","-0.00514881241290795","%","min","umol/min/g","A3","Y4940","22","sym","SW","Control"
"3","-0.293919346898227","-0.623387985889647","-1.18443717319033","-0.00558696779806759","%","min","umol/min/g","A4","Y6599","22","sym","SW","Control"
"4","-1.01542904870851","-2.15367336709355","-4.09197939747774","-0.0274629489763607","%","min","umol/min/g","A5","O38","22","sym","SW","Control"
"5","-0.26582542406631","-0.563802204433783","-1.07122418842419","-0.0083040634761565","%","min","umol/min/g","A6","Y7679","22","sym","SW","Control"
"6","-0.68398462798848","-1.45069660817142","-2.75632355552571","-0.0100229947473662","%","min","umol/min/g","B2","Y6172","22","sym","SW","Control"
"7","-0.370525935311479","-0.785866663665666","-1.49314666096477","-0.0083884643874425","%","min","umol/min/g","B3","O43","22","sym","SW","Control"
"8","-0.137033467739287","-0.290641015485951","-0.552217929423307","-0.00240094751923177","%","min","umol/min/g","B4","Y7071","22","sym","SW","Control"
"9","-0.380374317894486","-0.806754582230675","-1.53283370623828","-0.00532233925777181","%","min","umol/min/g","B5","Y6758","22","sym","SW","Control"
"10","-0.444637195300187","-0.943052876766847","-1.69749517818032","-0.00585343164889767","%","min","umol/min/g","B6","O48","22","sym","SW","Control"
"11","-0.184212102350376","-0.390704499967679","-0.74233854993859","-0.00815756648284165","%","min","umol/min/g","C2","Y9885","22","sym","SW","Control"
"12","-8.68634282573651","-18.4232913417499","-35.0042535493247","-0.152857002398798","%","min","umol/min/g","C3","O53","22","sym","SW","Control"
"13","-0.322314274037025","-0.68361218217118","-1.23050192790812","-0.0051701761676812","%","min","umol/min/g","C4","Y6688","22","sym","SW","Control"
"14","-0.378071404369668","-0.801870219771842","-1.5235534175665","-0.00642849543277004","%","min","umol/min/g","C5","Y9278","22","sym","SW","Control"
"15","-0.375455457625302","-0.796321929775372","-1.43337947359567","-0.004317408052999","%","min","umol/min/g","C6","O58","22","sym","SW","Control"
"16","-2.27547038089263","-4.82615694633869","-9.16969819804351","-0.0296753986991699","%","min","umol/min/g","D2","B616","22","sym","SW","Control"
"17","-2.27547038089263","-4.82615694633869","-9.16969819804351","-0.0552391457713465","%","min","umol/min/g","D3","O70","22","sym","SW","Control"
"18","-0.492050732553775","-1.04361457780605","-1.87850624005089","-0.00547669457740785","%","min","umol/min/g","D4","B266","22","sym","SW","Control"
"19","-0.187449190109905","-0.397570198465777","-0.755383377084976","-0.0104914357928469","%","min","umol/min/g","D5","O64","22","sym","SW","Control"
"20","-6.16558016810429","-13.0768819521315","-23.5383875138366","-0.0536181947923386","%","min","umol/min/g","D6","B9940","22","sym","SW","Control"
