"","Time.Elapsed.Min","vial","value","sym.state"
"1",0,"A2",98.2423863636364,"sym"
"2",0.25,"A2",97.4323863636364,"sym"
"3",0.5,"A2",97.5923863636364,"sym"
"4",0.75,"A2",96.7723863636364,"sym"
"5",1,"A2",96.4523863636364,"sym"
"6",1.25,"A2",95.3123863636364,"sym"
"7",1.5,"A2",95.3123863636364,"sym"
"8",1.75,"A2",94.1823863636364,"sym"
"9",2,"A2",92.0823863636364,"sym"
"10",2.25,"A2",91.1223863636364,"sym"
"11",2.5,"A2",90.6423863636364,"sym"
"12",2.75,"A2",89.2023863636364,"sym"
"13",3,"A2",88.4023863636364,"sym"
"14",3.25,"A2",87.9223863636364,"sym"
"15",3.5,"A2",87.2923863636364,"sym"
"16",3.75,"A2",85.8723863636364,"sym"
"17",4,"A2",85.0823863636364,"sym"
"18",4.25,"A2",83.9823863636364,"sym"
"19",4.5,"A2",83.0323863636364,"sym"
"20",4.75,"A2",82.4123863636364,"sym"
"21",5,"A2",80.6923863636364,"sym"
"22",5.25,"A2",79.9123863636364,"sym"
"23",5.5,"A2",79.6023863636364,"sym"
"24",5.75,"A2",78.5223863636364,"sym"
"25",6,"A2",78.8323863636364,"sym"
"26",6.25,"A2",78.3723863636364,"sym"
"27",6.5,"A2",78.8323863636364,"sym"
"28",6.75,"A2",78.2123863636364,"sym"
"29",7,"A2",77.5923863636364,"sym"
"30",7.25,"A2",77.9023863636364,"sym"
"31",7.5,"A2",77.7523863636364,"sym"
"32",7.75,"A2",77.4423863636364,"sym"
"33",8,"A2",76.5223863636364,"sym"
"34",8.25,"A2",76.2123863636364,"sym"
"35",8.5,"A2",76.2123863636364,"sym"
"36",8.75,"A2",76.5223863636364,"sym"
"37",9,"A2",75.7523863636364,"sym"
"38",9.25,"A2",74.9823863636364,"sym"
"39",9.5,"A2",74.8323863636364,"sym"
"40",9.75,"A2",74.3723863636364,"sym"
"41",10,"A2",74.0623863636364,"sym"
"42",10.25,"A2",73.4523863636364,"sym"
"43",10.5,"A2",73.4523863636364,"sym"
"44",10.75,"A2",73.1523863636364,"sym"
"45",11,"A2",73.1523863636364,"sym"
