Time,Death,Temperature,Plastic,Light,Food,Treatment,Sym.State
8,1,Elevated,Plastic,Light,Starved,PLS,Sym
8,1,Elevated,Plastic,Light,Starved,PLS,Sym
11,1,Elevated,Plastic,Light,Starved,PLS,Apo
11,1,Elevated,Plastic,Light,Starved,PLS,Apo
12,1,Elevated,Plastic,Light,Starved,PLS,Apo
12,1,Elevated,Plastic,Light,Starved,PLS,Apo
15,0,Elevated,Plastic,Light,Starved,PLS,Apo
17,1,Elevated,Plastic,Light,Starved,PLS,Sym
22,0,Elevated,Plastic,Light,Starved,PLS,Apo
22,0,Elevated,Plastic,Light,Starved,PLS,Sym
22,0,Elevated,Plastic,Light,Starved,PLS,Sym
22,0,Elevated,Plastic,Light,Starved,PLS,Sym
22,0,Elevated,Plastic,Light,Starved,PLS,Sym
22,0,Elevated,Plastic,Light,Starved,PLS,Sym
22,0,Elevated,Plastic,Light,Starved,PLS,Sym
22,0,Elevated,Plastic,Light,Starved,PLS,Sym
22,0,Elevated,Plastic,Light,Starved,PLS,Sym
22,0,Elevated,Plastic,Light,Starved,PLS,Sym
22,0,Elevated,Plastic,Light,Starved,PLS,Sym
22,0,Elevated,Plastic,Light,Starved,PLS,Sym
22,0,Elevated,Plastic,Light,Starved,PLS,Sym
22,0,Elevated,Plastic,Light,Starved,PLS,Sym
22,0,Elevated,Plastic,Light,Starved,PLS,Sym
22,0,Elevated,Plastic,Light,Starved,PLS,Sym
22,0,Elevated,Plastic,Light,Starved,PLS,Sym
22,0,Elevated,Plastic,Light,Starved,PLS,Sym
22,0,Elevated,Plastic,Light,Starved,PLS,Apo
22,0,Elevated,Plastic,Light,Starved,PLS,Apo
22,0,Elevated,Plastic,Light,Starved,PLS,Apo
22,0,Elevated,Plastic,Light,Starved,PLS,Apo
22,0,Elevated,Plastic,Light,Starved,PLS,Apo
22,0,Elevated,Plastic,Light,Starved,PLS,Apo
22,0,Elevated,Plastic,Light,Starved,PLS,Apo
22,0,Elevated,Plastic,Light,Starved,PLS,Apo
22,0,Elevated,Plastic,Light,Starved,PLS,Apo
22,0,Elevated,Plastic,Light,Starved,PLS,Apo
22,0,Elevated,Plastic,Light,Starved,PLS,Apo
22,0,Elevated,Plastic,Light,Starved,PLS,Apo
22,0,Elevated,Plastic,Light,Starved,PLS,Apo
22,0,Elevated,Plastic,Light,Starved,PLS,Apo
7,1,Elevated,Plastic,Dark,Starved,PDS,Apo
8,1,Elevated,Plastic,Dark,Starved,PDS,Sym
11,1,Elevated,Plastic,Dark,Starved,PDS,Apo
11,1,Elevated,Plastic,Dark,Starved,PDS,Apo
11,1,Elevated,Plastic,Dark,Starved,PDS,Sym
13,1,Elevated,Plastic,Dark,Starved,PDS,Sym
13,1,Elevated,Plastic,Dark,Starved,PDS,Sym
15,0,Elevated,Plastic,Dark,Starved,PDS,Sym
22,1,Elevated,Plastic,Dark,Starved,PDS,Apo
22,0,Elevated,Plastic,Dark,Starved,PDS,Sym
22,0,Elevated,Plastic,Dark,Starved,PDS,Sym
22,0,Elevated,Plastic,Dark,Starved,PDS,Sym
22,0,Elevated,Plastic,Dark,Starved,PDS,Sym
22,0,Elevated,Plastic,Dark,Starved,PDS,Sym
22,0,Elevated,Plastic,Dark,Starved,PDS,Sym
22,0,Elevated,Plastic,Dark,Starved,PDS,Sym
22,0,Elevated,Plastic,Dark,Starved,PDS,Sym
22,0,Elevated,Plastic,Dark,Starved,PDS,Sym
22,0,Elevated,Plastic,Dark,Starved,PDS,Sym
22,0,Elevated,Plastic,Dark,Starved,PDS,Sym
22,0,Elevated,Plastic,Dark,Starved,PDS,Sym
22,0,Elevated,Plastic,Dark,Starved,PDS,Sym
22,0,Elevated,Plastic,Dark,Starved,PDS,Sym
22,0,Elevated,Plastic,Dark,Starved,PDS,Sym
22,0,Elevated,Plastic,Dark,Starved,PDS,Apo
22,0,Elevated,Plastic,Dark,Starved,PDS,Apo
22,0,Elevated,Plastic,Dark,Starved,PDS,Apo
22,0,Elevated,Plastic,Dark,Starved,PDS,Apo
22,0,Elevated,Plastic,Dark,Starved,PDS,Apo
22,0,Elevated,Plastic,Dark,Starved,PDS,Apo
22,0,Elevated,Plastic,Dark,Starved,PDS,Apo
22,0,Elevated,Plastic,Dark,Starved,PDS,Apo
22,0,Elevated,Plastic,Dark,Starved,PDS,Apo
22,0,Elevated,Plastic,Dark,Starved,PDS,Apo
