Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
27.10.21 11:31:30,0.03,132.02,97.92,104.29,11.62,110.77,105.42,119.72,123.77,121.74,119.89,114.72,113.9,103.17,112.25,111.43,114.39,100.45,122.08,110.61,111.92,112.09,114.06,139.75,108.82,,23.3,1002,35,23.84,
27.10.21 11:31:45,0.28,132.02,97.92,103.97,11.86,109.96,102.69,119.39,120.4,123.1,118.88,113.4,113.07,101.73,111.1,111.59,113.9,97.92,119.05,109.47,109.47,111.1,116.05,139.92,110.12,,23.3,1002,35,23.88,
27.10.21 11:32:00,0.53,131.84,97.92,103.81,11.98,110.12,99.82,117.05,116.88,123.1,117.05,112.58,111.1,101.25,109.96,111.27,112.91,94.94,117.88,107.84,106.22,110.12,115.05,138.68,109.96,,23.3,1002,35,23.9,
27.10.21 11:32:15,0.78,131.84,97.92,104.13,12.23,109.3,98.08,115.39,113.9,122.25,117.55,111.43,109.47,100.93,109.47,109.96,111.76,92.6,115.05,106.87,104.61,109.47,115.22,138.51,109.3,,23.3,1002,35,23.92,
27.10.21 11:32:30,1.03,131.67,97.76,103.49,11.74,108.98,95.41,113.9,112.25,120.9,117.88,110.28,106.87,99.66,109.14,109.3,112.09,89.05,112.74,104.93,101.25,109.79,114.72,137.8,109.63,,23.3,1002,35,23.93,
27.10.21 11:32:45,1.28,131.84,97.61,103.81,12.11,107.84,92.91,112.09,110.45,119.89,115.88,108.98,104.61,99.19,108.98,109.79,112.09,85.98,111.43,103.97,98.08,108.82,112.58,137.98,108.98,,23.3,1002,35,23.93,
27.10.21 11:33:00,1.53,131.84,97.45,103.81,11.86,107.84,89.97,111.59,108,118.22,114.23,107.68,101.25,98.08,108.49,108.65,111.76,82.65,109.14,100.93,96.03,107.03,112.41,137.45,108.65,,23.3,1002,35,23.95,
27.10.21 11:33:15,1.78,131.84,97.61,103.17,11.86,106.71,87.05,109.63,105.58,118.22,112.74,106.22,97.61,97.13,108.49,108.17,111.43,79.79,107.35,99.03,92.13,106.38,111.27,137.27,108.49,,23.3,1002,35,23.95,
27.10.21 11:33:30,2.03,131.84,97.29,103.33,11.74,104.61,84.46,108.33,103.81,116.22,111.43,105.58,95.72,96.35,108.49,107.03,110.45,77.11,106.06,96.51,90.28,106.71,110.12,136.74,108.33,,23.3,1002,35,23.97,
27.10.21 11:33:45,2.28,132.19,97.45,103.49,11.74,103.65,83.25,107.03,101.09,114.56,109.47,103.65,92.91,94.78,108.17,105.42,109.96,74.89,103.33,95.09,86.29,105.58,109.96,135.16,107.84,,23.3,1002,35,23.99,
27.10.21 11:34:00,2.53,132.37,97.45,103.17,12.11,103.17,80.69,106.06,98.71,113.57,108.65,102.53,91.05,94.47,108.17,105.25,109.47,72.97,101.57,92.13,83.71,104.29,107.84,135.86,107.35,,23.3,1002,35,24,
27.10.21 11:34:15,2.78,132.54,97.13,102.69,11.62,101.73,78.3,105.09,96.82,112.41,106.38,100.77,88.89,93.07,107.84,105.09,109.79,70.92,99.5,89.35,80.69,103.97,107.84,134.98,107.03,,23.3,1002,35,24.02,
27.10.21 11:34:30,3.03,131.84,97.45,103.17,11.37,100.93,76.66,103.65,94.78,111.59,105.42,99.19,87.05,92.6,107.52,103.97,108.65,68.74,97.76,87.21,78.3,103.49,106.22,134.63,106.06,,23.3,1002,35,24,
27.10.21 11:34:45,3.28,132.19,97.45,102.53,12.11,100.45,74.59,102.85,92.76,110.28,104.13,97.61,85.53,91.05,107.68,102.85,108.65,67.87,96.82,83.55,76.51,102.37,106.22,132.89,106.06,,23.3,1002,35,24.02,
27.10.21 11:35:00,3.53,131.5,96.82,102.21,12.11,99.82,73.27,102.05,89.82,108.33,103.01,96.03,83.55,90.59,106.55,102.05,108.82,66.14,95.56,80.99,73.27,101.57,105.25,131.5,105.58,,23.3,1002,35,24.02,
27.10.21 11:35:15,3.78,132.19,97.45,103.01,12.11,98.4,71.22,100.61,88.74,107.84,101.41,94.16,81.74,89.51,106.38,101.73,107.68,64.99,94.47,78.45,71.36,100.45,104.45,130.63,105.58,,23.3,1002,35,24.06,
27.10.21 11:35:30,4.03,131.84,96.82,102.05,12.23,97.61,69.76,98.87,86.9,106.87,100.77,92.44,80.24,88.43,106.06,100.77,107.68,63.56,92.91,75.62,68.6,99.5,104.13,128.39,104.93,,23.3,1002,35,24.04,
27.10.21 11:35:45,4.28,132.02,96.98,102.69,12.48,96.51,67.73,97.92,86.29,105.74,99.03,90.59,79.19,87.21,105.42,99.66,106.38,61.71,92.13,72.68,66.29,99.03,103.49,128.04,103.49,,23.3,1002,35,24.06,
27.10.21 11:36:00,4.53,131.84,96.66,102.69,12.35,95.56,66.43,96.66,84.77,105.58,96.82,89.2,77.11,86.59,104.77,98.71,106.06,61.71,91.67,70.2,63.85,99.19,103.81,127.7,104.13,,23.3,1002,35,24.08,
27.10.21 11:36:15,4.78,132.02,97.13,102.85,12.23,94.94,64.85,95.72,84.16,103.81,96.03,87.05,76.07,85.68,104.29,97.92,105.58,59.73,91.2,67.58,No Sensor,98.55,102.53,125.48,103.97,,23.3,1002,35,24.09,
27.10.21 11:36:30,5.03,132.02,96.35,102.69,12.23,93.22,63.56,94.16,82.04,102.53,94.63,85.68,75.03,84.77,104.13,97.29,104.93,59.31,89.35,65.57,No Sensor,97.45,102.69,125.31,103.81,,23.3,1002,35,24.09,
27.10.21 11:36:45,5.28,132.19,97.45,102.05,12.11,92.44,62.14,92.76,80.69,101.89,93.22,84.16,73.71,83.25,103.65,96.51,104.29,58.46,89.2,63.85,No Sensor,96.66,101.57,124.79,103.01,,23.3,1002,35,24.11,
27.10.21 11:37:00,5.53,132.19,96.82,102.05,11.74,92.13,60.58,91.05,78.89,99.5,91.05,82.04,72.53,82.5,103.33,96.03,102.69,56.64,88.28,62.14,No Sensor,96.51,101.57,123.77,103.49,,23.3,1002,35,24.11,
27.10.21 11:37:15,5.78,132.37,96.82,102.21,12.11,91.05,59.02,89.97,77.4,97.92,91.82,81.14,71.22,80.99,102.53,94.94,102.69,56.08,87.66,59.16,No Sensor,95.88,100.61,123.6,101.73,,23.3,1002,35,24.11,
27.10.21 11:37:30,6.03,132.19,96.66,102.05,11.86,91.36,58.18,88.28,76.66,96.82,90.28,79.49,70.92,80.39,102.69,93.84,101.57,55.94,86.75,No Sensor,No Sensor,95.25,100.3,124.11,102.21,,23.3,1002,35,24.13,
27.10.21 11:37:45,6.28,132.02,96.03,101.89,12.11,90.9,56.64,86.59,75.62,94.47,89.2,77.4,69.47,79.79,102.21,92.91,101.73,55.52,86.75,No Sensor,No Sensor,94.78,99.34,124.45,102.53,,23.3,1002,35,24.13,
27.10.21 11:38:00,6.53,131.84,96.19,101.25,11.49,91.36,55.38,85.22,74.44,92.44,87.97,76.07,68.31,78.89,102.37,91.98,99.66,55.1,85.68,No Sensor,No Sensor,94.16,98.24,122.42,102.05,,23.3,1002,35,24.11,
27.10.21 11:38:15,6.78,132.37,96.19,102.21,12.11,90.74,54.4,83.71,74.15,91.82,87.97,75.18,67.58,77.85,101.89,91.36,99.66,54.4,84.61,No Sensor,No Sensor,93.22,97.76,121.07,101.73,,23.3,1002,35,24.13,
27.10.21 11:38:30,7.03,131.67,96.19,101.57,11.13,90.12,53.16,82.04,72.83,90.59,88.58,73.12,66.72,76.66,101.57,90.12,97.92,54.13,84.46,No Sensor,No Sensor,93.69,96.66,122.25,101.89,,23.3,1002,35,24.15,
27.10.21 11:38:45,7.28,132.19,96.98,101.89,11.37,90.43,52.19,80.99,72.68,88.43,87.82,72.09,66.43,76.22,101.09,89.66,96.19,53.85,82.8,No Sensor,No Sensor,92.29,96.35,120.73,101.89,,23.3,1002,35,24.13,
27.10.21 11:39:00,7.53,132.19,96.82,101.41,11.98,90.28,50.95,79.49,71.36,87.66,87.05,71.07,65.14,75.62,100.45,87.97,96.03,54.13,81.89,No Sensor,No Sensor,91.98,94.78,122.08,101.25,,23.3,1002,35,24.16,
27.10.21 11:39:15,7.78,132.02,96.03,101.41,11.74,89.97,49.98,77.85,70.49,85.98,85.83,70.05,64.42,74.44,100.3,86.59,97.61,52.6,80.54,No Sensor,No Sensor,90.59,93.69,121.41,101.57,,23.3,1002,35,24.18,
27.10.21 11:39:30,8.03,131.84,96.19,100.93,11.74,89.05,49.03,76.51,70.92,85.98,85.37,67.58,63.71,73.56,100.3,85.98,97.29,52.33,78.89,No Sensor,No Sensor,89.97,92.29,120.56,101.57,,23.3,1002,35,24.17,
27.10.21 11:39:45,8.28,131.84,96.51,101.57,11.98,88.74,48.48,75.33,68.89,84.31,84.92,65.71,No Sensor,72.83,98.55,84.77,94.78,51.91,78,No Sensor,No Sensor,90.28,92.44,120.23,101.41,,23.3,1002,35,24.18,
27.10.21 11:40:00,8.53,132.02,96.03,101.25,12.11,88.74,47.8,74.74,68.6,82.8,84.01,63.99,No Sensor,72.39,98.71,84.16,94.63,51.91,76.51,No Sensor,No Sensor,89.82,90.12,124.11,100.77,,23.3,1002,35,24.18,
27.10.21 11:40:15,8.78,132.02,96.19,101.89,11.62,89.05,46.71,73.41,68.6,81.29,83.71,62.71,No Sensor,71.51,97.92,82.5,94.16,52.05,75.18,No Sensor,No Sensor,89.51,89.35,121.74,101.09,,23.3,1002,35,24.18,
27.10.21 11:40:30,9.03,131.84,96.35,101.09,11.74,88.28,46.3,73.12,68.02,81.14,83.25,61.85,No Sensor,70.34,98.4,80.99,94,51.91,73.27,No Sensor,No Sensor,88.43,88.43,121.57,100.61,,23.3,1002,35,24.2,
27.10.21 11:40:45,9.28,132.19,96.35,101.41,11.74,87.51,45.08,71.95,67.44,80.54,82.35,61.14,No Sensor,69.18,97.61,81.29,91.98,51.64,72.24,No Sensor,No Sensor,87.36,87.51,122.42,99.98,,23.3,1002,35,24.2,
27.10.21 11:41:00,9.53,132.02,96.03,101.41,12.23,87.36,No Sensor,72.09,64.99,80.09,81.44,No Sensor,No Sensor,68.89,98.08,79.34,91.2,50.95,71.22,No Sensor,No Sensor,87.05,86.9,121.41,100.45,,23.3,1002,35,24.22,
27.10.21 11:41:15,9.78,131.84,96.03,101.57,11.62,86.9,No Sensor,71.51,64.56,80.69,81.74,No Sensor,No Sensor,68.02,98.08,79.19,91.36,50.26,70.78,No Sensor,No Sensor,87.21,86.14,122.25,99.34,,23.3,1002,35,24.22,
27.10.21 11:41:30,10.03,132.19,96.51,101.57,12.11,86.59,No Sensor,71.07,No Sensor,79.94,81.74,No Sensor,No Sensor,67.44,97.45,78.89,90.12,49.85,70.63,No Sensor,No Sensor,85.37,85.68,119.89,99.66,,23.3,1002,35,24.24,
27.10.21 11:41:45,10.28,132.37,96.35,101.73,12.11,85.98,No Sensor,70.05,No Sensor,79.94,80.69,No Sensor,No Sensor,66.72,96.98,77.4,90.12,49.03,69.32,No Sensor,No Sensor,84.92,84.46,120.9,99.66,,23.3,1002,35,24.24,
27.10.21 11:42:00,10.53,131.67,96.82,101.57,12.23,85.98,No Sensor,69.47,No Sensor,80.84,79.94,No Sensor,No Sensor,66.57,97.76,77.7,90.9,No Sensor,68.31,No Sensor,No Sensor,84.77,83.55,120.06,98.55,,23.3,1002,35,24.24,
27.10.21 11:42:15,10.78,132.02,96.66,101.41,12.48,85.68,No Sensor,69.32,No Sensor,80.24,79.64,No Sensor,No Sensor,65.71,97.13,76.66,90.74,No Sensor,67.58,No Sensor,No Sensor,84.61,82.5,119.39,98.55,,23.3,1002,35,24.24,
27.10.21 11:42:30,11.03,131.84,96.51,101.41,12.11,85.68,No Sensor,68.89,No Sensor,80.99,79.04,No Sensor,No Sensor,65.42,96.66,76.22,90.43,No Sensor,66.57,No Sensor,No Sensor,84.16,82.95,119.89,97.61,,23.3,1002,35,24.24,
27.10.21 11:42:45,11.28,132.02,96.98,101.09,12.35,85.83,No Sensor,68.6,No Sensor,80.24,77.55,No Sensor,No Sensor,64.56,96.03,75.92,91.2,No Sensor,66.57,No Sensor,No Sensor,83.25,82.19,119.89,97.76,,23.3,1002,35,24.25,
27.10.21 11:43:00,11.53,131.84,96.98,100.93,11.98,85.83,No Sensor,67.87,No Sensor,80.99,76.81,No Sensor,No Sensor,63.99,96.19,75.77,90.9,No Sensor,66.43,No Sensor,No Sensor,82.95,81.29,117.71,97.45,,23.3,1002,35,24.25,
27.10.21 11:43:15,11.78,132.19,96.66,101.41,12.23,85.53,No Sensor,67.44,No Sensor,80.54,75.92,No Sensor,No Sensor,63.56,95.72,74.44,91.98,No Sensor,66.57,No Sensor,No Sensor,82.8,81.59,119.05,98.24,,23.3,1002,35,24.27,
27.10.21 11:43:30,12.03,131.67,96.35,101.57,11.49,85.98,No Sensor,67.3,No Sensor,80.54,74.3,No Sensor,No Sensor,62.56,95.25,74.15,91.98,No Sensor,67.01,No Sensor,No Sensor,81.29,80.39,117.88,97.45,,23.3,1002,35,24.27,
27.10.21 11:43:45,12.28,132.02,96.66,101.41,12.35,85.68,No Sensor,67.01,No Sensor,80.39,73.56,No Sensor,No Sensor,62.71,95.88,72.68,91.82,No Sensor,66.43,No Sensor,No Sensor,80.84,80.99,118.22,97.13,,23.3,1002,35,24.29,
27.10.21 11:44:00,12.53,132.71,96.82,101.25,11.86,85.98,No Sensor,66.86,No Sensor,80.09,72.53,No Sensor,No Sensor,61.71,95.25,72.97,90.74,No Sensor,66.29,No Sensor,No Sensor,80.99,79.79,118.88,95.25,,23.3,1002,35,24.29,
27.10.21 11:44:15,12.78,132.02,97.29,101.25,12.11,85.83,No Sensor,66.43,No Sensor,80.39,70.49,No Sensor,No Sensor,61,95.25,71.95,89.97,No Sensor,67.15,No Sensor,No Sensor,80.84,80.09,118.05,95.25,,23.3,1002,35,24.29,
27.10.21 11:44:30,13.03,131.84,96.51,101.09,11.86,85.37,No Sensor,65.86,No Sensor,80.54,70.05,No Sensor,No Sensor,60.44,94.94,71.8,91.05,No Sensor,65.86,No Sensor,No Sensor,80.84,79.79,117.38,94.47,,23.3,1002,35,24.31,
