"","input.rate","converted.rate","volumetric","mass.specific","input.o2.unit","input.time.unit","output.unit","vial","B.TAG","Day","Sym.state","Bacteria","Treatment"
"1","-0.452488331900887","-0.959704738184291","-1.82343900255015","-0.017876852966178","%","min","umol/min/g","A2","O36","22","sym","EC","Control"
"2","-0.551214747450126","-1.16909844429053","-2.221287044152","-0.0148085802943467","%","min","umol/min/g","A3","Y4156","22","sym","EC","Control"
"3","-3.35245951976755","-7.11039613369893","-13.509752654028","-0.0860493799619616","%","min","umol/min/g","A4","O41","22","sym","EC","Control"
"4","-4.5061374463696","-9.55728833939925","-18.1588478448586","-0.0936023084786524","%","min","umol/min/g","A5","Y5281","22","sym","EC","Control"
"5","-1.27270856617511","-2.69935013827831","-4.85883024890097","-0.0370903072435188","%","min","umol/min/g","A6","O46","22","sym","EC","Control"
"6","-6.4387634777412","-13.6562898576348","-24.5813217437427","-0.0630290301121608","%","min","umol/min/g","B2","Y7364","22","sym","EC","Control"
"7","-2.75963735801684","-5.85305047985028","-11.1207959117155","-0.0690732665323946","%","min","umol/min/g","B3","O50","22","sym","EC","Control"
"8","-0.451884867495355","-0.95842482087265","-1.82100715965804","-0.0271792113381796","%","min","umol/min/g","B4","Y8794","22","sym","EC","Control"
"9","-3.77132320939758","-7.99878471579246","-15.1976909600057","-0.0669501804405536","%","min","umol/min/g","B5","O54","22","sym","EC","Control"
"10","-1.79278994487293","-3.80241629090354","-7.22459095271673","-0.0321092931231855","%","min","umol/min/g","B6","O56","22","sym","EC","Control"
"11","-4.27663426698041","-9.07052376855852","-17.2339951602612","-0.0709217907829679","%","min","umol/min/g","C2","Y615","22","sym","EC","Control"
"12","-6.13763643977205","-13.0176147255705","-23.4317065060268","-0.0689167838412553","%","min","umol/min/g","C3","O63","22","sym","EC","Control"
"13","-2.52241138093779","-5.34990624789464","-10.1648218709998","-0.0425306354435139","%","min","umol/min/g","C4","B1938","22","sym","EC","Control"
"14","-9.53267441081826","-20.2183175888706","-38.4148034188541","-0.274391452991815","%","min","umol/min/g","C5","B3941","22","sym","EC","Control"
"15","-0.368030870794879","-0.780574758726157","-1.4830920415797","-0.016297714742634","%","min","umol/min/g","C6","O71","22","sym","EC","Control"
"16","-5.78312054834987","-12.2657045507153","-22.0782681912876","-0.072151203239502","%","min","umol/min/g","D2","B233","22","sym","EC","Control"
"17","-5.78312054834987","-12.2657045507153","-23.3048386463591","-0.0756650605401271","%","min","umol/min/g","D3","B919","22","sym","EC","Control"
"18","-0.310417646148346","-0.658380039487595","-1.25092207502643","-0.00962247750020331","%","min","umol/min/g","D4","O74","22","sym","EC","Control"
"19","-0.436339128693465","-0.925453099537708","-1.75836088912164","-0.0117224059274776","%","min","umol/min/g","D6","B5431","22","sym","EC","Control"
