"","Time.Elapsed.Min","vial","value","sym.state"
"1",0,"A2",94.595057591623,"sym"
"2",0.25,"A2",96.705057591623,"sym"
"3",0.5,"A2",96.385057591623,"sym"
"4",0.75,"A2",95.245057591623,"sym"
"5",1,"A2",94.765057591623,"sym"
"6",1.25,"A2",94.595057591623,"sym"
"7",1.5,"A2",92.335057591623,"sym"
"8",1.75,"A2",90.575057591623,"sym"
"9",2,"A2",88.505057591623,"sym"
"10",2.25,"A2",86.605057591623,"sym"
"11",2.5,"A2",85.345057591623,"sym"
"12",2.75,"A2",83.145057591623,"sym"
"13",3,"A2",81.275057591623,"sym"
"14",3.25,"A2",79.255057591623,"sym"
"15",3.5,"A2",76.485057591623,"sym"
"16",3.75,"A2",74.045057591623,"sym"
"17",4,"A2",72.835057591623,"sym"
"18",4.25,"A2",70.415057591623,"sym"
"19",4.5,"A2",69.665057591623,"sym"
"20",4.75,"A2",67.575057591623,"sym"
"21",5,"A2",66.685057591623,"sym"
"22",5.25,"A2",64.905057591623,"sym"
"23",5.5,"A2",63.575057591623,"sym"
"24",5.75,"A2",62.255057591623,"sym"
"25",6,"A2",61.955057591623,"sym"
"26",6.25,"A2",59.915057591623,"sym"
"27",6.5,"A2",58.605057591623,"sym"
"28",6.75,"A2",57.885057591623,"sym"
"29",7,"A2",55.715057591623,"sym"
"30",7.25,"A2",55.715057591623,"sym"
"31",7.5,"A2",55.575057591623,"sym"
"32",7.75,"A2",54.995057591623,"sym"
"33",8,"A2",55.285057591623,"sym"
"34",8.25,"A2",55.145057591623,"sym"
"35",8.5,"A2",54.715057591623,"sym"
"36",8.75,"A2",54.425057591623,"sym"
"37",9,"A2",55.285057591623,"sym"
"38",9.25,"A2",54.425057591623,"sym"
"39",9.5,"A2",53.715057591623,"sym"
"40",9.75,"A2",53.285057591623,"sym"
"41",10,"A2",52.425057591623,"sym"
"42",10.25,"A2",51.575057591623,"sym"
"43",10.5,"A2",50.015057591623,"sym"
"44",10.75,"A2",49.035057591623,"sym"
"45",11,"A2",47.765057591623,"sym"
"46",11.25,"A2",46.225057591623,"sym"
"47",11.5,"A2",45.675057591623,"sym"
"48",11.75,"A2",44.415057591623,"sym"
"49",12,"A2",43.445057591623,"sym"
"50",12.25,"A2",42.485057591623,"sym"
"51",12.5,"A2",41.385057591623,"sym"
"52",12.75,"A2",40.285057591623,"sym"
"53",13,"A2",39.465057591623,"sym"
"54",13.25,"A2",39.325057591623,"sym"
"55",13.5,"A2",39.595057591623,"sym"
"56",13.75,"A2",39.465057591623,"sym"
"57",14,"A2",41.105057591623,"sym"
"58",14.25,"A2",40.555057591623,"sym"
"59",14.5,"A2",41.385057591623,"sym"
"60",14.75,"A2",41.795057591623,"sym"
"61",15,"A2",42.625057591623,"sym"
"62",15.25,"A2",44.005057591623,"sym"
"63",15.5,"A2",44.695057591623,"sym"
"64",15.75,"A2",44.975057591623,"sym"
"65",16,"A2",44.145057591623,"sym"
"66",16.25,"A2",44.975057591623,"sym"
"67",16.5,"A2",45.255057591623,"sym"
"68",16.75,"A2",45.675057591623,"sym"
"69",17,"A2",45.395057591623,"sym"
"70",17.25,"A2",44.975057591623,"sym"
"71",17.5,"A2",44.975057591623,"sym"
"72",17.75,"A2",43.725057591623,"sym"
"73",18,"A2",43.315057591623,"sym"
"74",18.25,"A2",43.175057591623,"sym"
"75",18.5,"A2",42.205057591623,"sym"
"76",18.75,"A2",41.515057591623,"sym"
"77",19,"A2",40.695057591623,"sym"
"78",19.25,"A2",39.465057591623,"sym"
"79",19.5,"A2",38.375057591623,"sym"
"80",19.75,"A2",37.965057591623,"sym"
"81",20,"A2",37.145057591623,"sym"
"82",20.25,"A2",35.925057591623,"sym"
"83",20.5,"A2",35.525057591623,"sym"
"84",20.75,"A2",35.385057591623,"sym"
"85",21,"A2",34.445057591623,"sym"
"86",21.25,"A2",33.775057591623,"sym"
"87",21.5,"A2",34.045057591623,"sym"
"88",21.75,"A2",33.775057591623,"sym"
"89",22,"A2",33.905057591623,"sym"
"90",22.25,"A2",35.255057591623,"sym"
"91",22.5,"A2",35.655057591623,"sym"
"92",22.75,"A2",36.605057591623,"sym"
"93",23,"A2",37.415057591623,"sym"
"94",23.25,"A2",38.505057591623,"sym"
"95",23.5,"A2",38.775057591623,"sym"
"96",23.75,"A2",39.735057591623,"sym"
"97",24,"A2",40.965057591623,"sym"
"98",24.25,"A2",41.935057591623,"sym"
"99",24.5,"A2",42.345057591623,"sym"
"100",24.75,"A2",42.755057591623,"sym"
"101",25,"A2",43.035057591623,"sym"
"102",25.25,"A2",43.585057591623,"sym"
"103",25.5,"A2",44.555057591623,"sym"
"104",25.75,"A2",44.555057591623,"sym"
"105",26,"A2",44.695057591623,"sym"
"106",26.25,"A2",44.975057591623,"sym"
"107",26.5,"A2",44.695057591623,"sym"
"108",26.75,"A2",44.415057591623,"sym"
"109",27,"A2",44.695057591623,"sym"
"110",27.25,"A2",44.555057591623,"sym"
"111",27.5,"A2",44.145057591623,"sym"
"112",27.75,"A2",44.145057591623,"sym"
"113",28,"A2",43.725057591623,"sym"
"114",28.25,"A2",42.895057591623,"sym"
"115",28.5,"A2",42.895057591623,"sym"
"116",28.75,"A2",43.445057591623,"sym"
"117",29,"A2",42.485057591623,"sym"
"118",29.25,"A2",42.065057591623,"sym"
"119",29.5,"A2",41.515057591623,"sym"
"120",29.75,"A2",41.655057591623,"sym"
"121",30,"A2",40.965057591623,"sym"
"122",30.25,"A2",41.245057591623,"sym"
"123",30.5,"A2",41.385057591623,"sym"
"124",30.75,"A2",41.935057591623,"sym"
"125",31,"A2",42.345057591623,"sym"
"126",31.25,"A2",42.755057591623,"sym"
"127",31.5,"A2",43.445057591623,"sym"
"128",31.75,"A2",44.005057591623,"sym"
"129",32,"A2",43.725057591623,"sym"
"130",32.25,"A2",43.865057591623,"sym"
"131",32.5,"A2",44.415057591623,"sym"
"132",32.75,"A2",45.535057591623,"sym"
"133",33,"A2",45.535057591623,"sym"
