Date,Ph,Temperature,Salinity,Sump,Treatment
9/20/21,8.02,21.60,30.80,orange,"PDS, PLS"
9/20/21,8.10,22.10,34.20,yellow,"NDS, NLS"
9/20/21,8.20,21.90,30.10,green,"PDF, PLF"
9/20/21,7.97,22.20,33.40,blue,"NDF, NLF"
9/21/21,8.00,21.60,31.00,orange,"PDS, PLS"
9/21/21,8.08,22.10,34.30,yellow,"NDS, NLS"
9/21/21,8.16,21.20,29.40,green,"PDF, PLF"
9/21/21,7.95,22.20,33.80,blue,"NDF, NLF"
9/22/21,8.01,23.50,33.30,orange,"PDS, PLS"
9/22/21,8.08,24.40,36.10,yellow,"NDS, NLS"
9/22/21,8.19,23.50,34.40,green,"PDF, PLF"
9/22/21,7.98,24.20,35.80,blue,"NDF, NLF"
9/23/21,8.04,21.30,32.70,orange,"PDS, PLS"
9/23/21,8.09,22.10,33.50,yellow,"NDS, NLS"
9/23/21,8.18,20.80,29.70,green,"PDF, PLF"
9/23/21,7.98,21.70,31.00,blue,"NDF, NLF"
9/24/21,8.06,21.50,32.70,orange,"PDS, PLS"
9/24/21,8.10,22.50,33.50,yellow,"NDS, NLS"
9/24/21,8.18,21.20,29.80,green,"PDF, PLF"
9/24/21,7.96,22.20,28.40,blue,"NDF, NLF"
9/27/21,8.05,22.30,36.70,orange,"PDS, PLS"
9/27/21,8.10,22.20,33.50,yellow,"NDS, NLS"
9/27/21,8.21,23.00,36.10,green,"PDF, PLF"
9/27/21,7.96,22.10,34.30,blue,"NDF, NLF"
9/28/21,8.01,28.50,35.30,orange,"PDS, PLS"
9/28/21,8.08,23.20,32.90,yellow,"NDS, NLS"
9/28/21,8.20,22.10,31.30,green,"PDF, PLF"
9/28/21,7.97,22.70,35.10,blue,"NDF, NLF"
9/29/21,8.02,29.78,35.10,orange,"PDS, PLS"
9/29/21,8.08,26.50,35.15,yellow,"NDS, NLS"
9/29/21,8.22,22.25,33.25,green,"PDF, PLF"
9/29/21,7.97,22.30,34.94,blue,"NDF, NLF"
9/30/21,8.01,29.20,34.00,orange,"PDS, PLS"
9/30/21,8.09,27.20,35.30,yellow,"NDS, NLS"
9/30/21,8.20,23.10,34.30,green,"PDF, PLF"
9/30/21,7.95,22.10,34.20,blue,"NDF, NLF"
10/1/21,8.01,29.55,34.15,orange,"PDS, PLS"
10/1/21,8.08,30.65,38.30,yellow,"NDS, NLS"
10/1/21,8.19,25.90,35.30,green,"PDF, PLF"
